Episode,Current_Epsilon,Score
25,0.7778213593991465,-936
50,0.6050060671375365,-924
75,0.47058664158564995,-574
100,0.36603234127322926,-456
125,0.2847077732731954,-450
150,0.22145178723886094,-1234
175,0.17224993019150142,-500
200,0.13397967485796175,-950
225,0.10421225282987552,-436
250,0.08105851616218133,-430
275,0.06304904523214558,-948
300,0.04904089407128576,-902
325,0.03814505489267701,-448
350,0.029670038450977095,0
375,0.02307798964136395,-482
400,0.017950553275045134,-680
425,0.013962323750362413,-412
450,0.010860193639877886,-582
475,0.00844729058030778,-558
500,0.006570483042414605,-690
525,0.005110662051959969,56
550,0.0039751821046851345,-432
575,0.0030919815485253516,-494
600,0.002405009291311067,-842
625,0.0018706675963351524,-446
650,0.0014550452127653425,-488
675,0.0011317652453803595,-406
700,0.0008803111816824599,-392
725,0.0006847248400305201,-566
750,0.0005325936058869021,-500
775,0.0004142626825382434,-438
800,0.00032222236288023367,-546
825,0.00025063143632430857,-958
850,0.00019494648450993428,-450
875,0.0001516335395916018,-444
900,0.00011794380589564402,-516
925,9.173921143445889e-05,-436
950,7.13567181481565e-05,-418
975,5.550277951226085e-05,-436
