Alpha,Gamma,Epsilon,Epsilon_Decay,Episodes,Simulations,Avg_Score
0.1,0.5,0.5,0.99,500,5,-25.2
0.1,0.5,0.5,0.99,1000,5,-2.8
0.1,0.5,0.5,0.99,2000,5,-29.6
0.1,0.5,0.9,0.99,500,5,2.4
0.1,0.5,0.9,0.99,1000,5,-28.4
0.1,0.5,0.9,0.99,2000,5,-14.4
0.1,0.9,0.5,0.99,500,5,-10.8
0.1,0.9,0.5,0.99,1000,5,-5.2
0.1,0.9,0.5,0.99,2000,5,-37.2
0.1,0.9,0.9,0.99,500,5,-21.2
0.1,0.9,0.9,0.99,1000,5,-2.0
0.1,0.5,0.5,0.995,500,5,5.6
0.1,0.5,0.5,0.995,1000,5,-46.8
0.1,0.5,0.5,0.995,2000,5,-59.6
0.1,0.5,0.9,0.995,500,5,-8.4
0.1,0.5,0.9,0.995,1000,5,-49.2
0.1,0.5,0.9,0.995,2000,5,-15.2
0.1,0.9,0.5,0.995,500,5,6.8
0.1,0.9,0.5,0.995,1000,5,-13.2
0.1,0.9,0.5,0.995,2000,5,-18.8
0.1,0.9,0.9,0.99,2000,5,-2.8
0.1,0.9,0.9,0.995,500,5,-31.6
0.1,0.9,0.9,0.995,1000,5,-14.4
0.1,0.9,0.9,0.995,2000,5,-24.0
0.2,0.5,0.5,0.99,500,5,4.8
0.2,0.5,0.5,0.99,1000,5,-9.6
0.2,0.5,0.5,0.99,2000,5,-84.0
0.2,0.5,0.5,0.995,500,5,-36.0
0.2,0.5,0.5,0.995,1000,5,-35.2
0.2,0.5,0.5,0.995,2000,5,-50.4
0.2,0.5,0.9,0.99,500,5,-32.4
0.2,0.5,0.9,0.99,1000,5,-78.4
0.2,0.5,0.9,0.99,2000,5,-51.6
0.2,0.5,0.9,0.995,500,5,-53.6
0.2,0.5,0.9,0.995,1000,5,-6.4
0.2,0.5,0.9,0.995,2000,5,-56.0
0.2,0.9,0.5,0.99,500,5,-6.8
0.2,0.9,0.5,0.99,1000,5,-38.0
0.2,0.9,0.5,0.99,2000,5,-5.2
0.2,0.9,0.5,0.995,500,5,-39.6
0.2,0.9,0.5,0.995,1000,5,6.4
0.2,0.9,0.5,0.995,2000,5,-30.8
0.2,0.9,0.9,0.99,500,5,-47.6
0.2,0.9,0.9,0.99,1000,5,-19.6
0.2,0.9,0.9,0.99,2000,5,-5.2
0.2,0.9,0.9,0.995,500,5,-35.2
0.2,0.9,0.9,0.995,1000,5,-30.4
0.2,0.9,0.9,0.995,2000,5,-59.2
0.5,0.5,0.5,0.99,500,5,-22.0
0.5,0.5,0.5,0.99,1000,5,-32.0
0.5,0.5,0.5,0.99,2000,5,-16.0
0.5,0.5,0.5,0.995,500,5,-29.2
0.5,0.5,0.5,0.995,1000,5,19.2
0.5,0.5,0.5,0.995,2000,5,-36.0
0.5,0.5,0.9,0.99,500,5,-22.0
0.5,0.5,0.9,0.99,1000,5,-14.0
0.5,0.5,0.9,0.99,2000,5,-62.8
0.5,0.5,0.9,0.995,500,5,7.6
0.5,0.5,0.9,0.995,1000,5,-10.0
0.5,0.5,0.9,0.995,2000,5,-40.0
0.5,0.9,0.5,0.99,500,5,8.8
0.5,0.9,0.5,0.99,1000,5,-72.0
0.5,0.9,0.5,0.99,2000,5,-18.8
0.5,0.9,0.5,0.995,500,5,-34.8
0.5,0.9,0.5,0.995,1000,5,-32.0
0.5,0.9,0.5,0.995,2000,5,17.6
0.5,0.9,0.9,0.99,500,5,-6.0
0.5,0.9,0.9,0.99,1000,5,-14.8
0.5,0.9,0.9,0.99,2000,5,-30.4
0.5,0.9,0.9,0.995,500,5,-35.2
0.5,0.9,0.9,0.995,1000,5,-14.0
